route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000020,OCESN12266F3300134:2024-08-28T00:25:25Z,12266,0,58,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000036,OCESN12267F3089524:2024-07-06T00:31:25Z,12267,1,59,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000002,OCESN12267F3089525:2024-08-25T00:25:17Z,12267,1,60,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000010,OCESN12267F3090727:2024-04-16T00:31:58Z,12267,1,61,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000037,OCESN12267F3090729:2024-08-29T00:25:22Z,12267,1,62,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000038,OCESN12267F3090730:2024-07-06T00:31:25Z,12267,1,63,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000039,OCESN12267F3090731:2024-07-10T00:42:13Z,12267,1,64,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000040,OCESN12267F3090733:2024-07-06T00:31:25Z,12267,1,65,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000021,OCESN12268F3101289:2024-08-28T00:25:25Z,12268,0,66,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000040,OCESN12268F3156319:2024-08-28T00:25:25Z,12268,0,67,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000041,OCESN12268F3228335:2024-08-29T00:25:22Z,12268,0,68,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000042,OCESN12268F3228336:2024-08-28T00:25:25Z,12268,0,69,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12269F2666968:2024-08-28T00:25:25Z,12269,1,70,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000007,OCESN12269F3091166:2024-08-29T00:25:22Z,12269,1,71,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000012,OCESN12270F3091776:2024-08-28T00:25:25Z,12270,0,72,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000043,OCESN12270F3236305:2024-08-29T00:25:22Z,12270,0,73,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000013,OCESN12270F3246134:2024-08-28T00:25:25Z,12270,0,74,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000044,OCESN12271F2666498:2024-08-28T00:25:25Z,12271,1,75,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12271F3093699:2024-08-28T00:25:25Z,12271,1,76,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000037,OCESN12271F3135342:2024-08-28T00:25:25Z,12271,1,77,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000045,OCESN12273F2234873:2024-08-28T00:25:25Z,12273,1,78,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000046,OCESN12273F2567788:2024-08-29T00:25:22Z,12273,1,79,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000047,OCESN12273F2978761:2024-08-28T00:25:25Z,12273,1,80,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000048,OCESN12273F3134496:2024-08-28T00:25:25Z,12273,1,81,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000002,OCESN12274F3089194:2024-08-28T00:25:25Z,12274,0,82,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000049,OCESN12274F3089643:2024-08-28T00:25:25Z,12274,0,83,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000007,OCESN12274F3091375:2024-08-29T00:25:22Z,12274,0,84,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000034,OCESN12274F3091530:2024-08-28T00:25:25Z,12274,0,85,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000028,OCESN12274F3264965:2024-08-28T00:25:25Z,12274,0,86,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000040,OCESN12275F2943094:2024-08-28T00:25:25Z,12275,1,87,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000038,OCESN12275F3095125:2024-08-28T00:25:25Z,12275,1,88,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000050,OCESN12276F3214978:2024-08-28T00:25:25Z,12276,0,89,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000014,OCESN12276F3300069:2024-08-28T00:25:25Z,12276,0,90,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000042,OCESN12278F3074576:2024-08-28T00:25:25Z,12278,0,91,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000007,OCESN12291F3076046:2024-08-29T00:25:22Z,12291,1,92,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000020,OCESN12295F3093927:2024-08-23T00:26:10Z,12295,1,93,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000051,OCESN2023F3392357:2024-08-29T00:25:22Z,2023,0,94,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000051,OCESN2041F3236173:2024-07-04T00:34:03Z,2041,0,95,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000051,OCESN2050F3311283:2024-08-29T00:25:22Z,2050,1,96,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000002,OCESN2051F3134451:2024-08-29T00:25:22Z,2051,0,97,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000036,OCESN2051F3281440:2024-08-29T00:25:22Z,2051,0,98,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000010,OCESN2057F3333501:2024-08-29T00:25:22Z,2057,0,99,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000052,OCESN2057F3336117:2024-08-29T00:25:22Z,2057,0,100,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000053,OCESN2058F3427690:2024-08-29T00:25:22Z,2058,1,101,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000054,OCESN2060F3311272:2024-08-29T00:25:22Z,2060,1,102,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000010,OCESN2060F3333549:2024-08-29T00:25:22Z,2060,1,103,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000055,OCESN2061F3438184:2024-08-29T00:25:22Z,2061,0,104,
