trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN15940F3163217:2024-06-14T00:38:46Z,10:33:00,10:34:00,StopPoint:OCEINTERCITES-87781542,4,,0,0,
OCESN15940F3163217:2024-06-14T00:38:46Z,10:58:00,10:59:00,StopPoint:OCEINTERCITES-87783456,5,,0,0,
OCESN15940F3163217:2024-06-14T00:38:46Z,11:06:00,11:07:00,StopPoint:OCEINTERCITES-87783431,6,,0,0,
OCESN15940F3163217:2024-06-14T00:38:46Z,11:13:00,11:14:00,StopPoint:OCEINTERCITES-87783423,7,,0,0,
OCESN15940F3163217:2024-06-14T00:38:46Z,11:24:00,11:26:00,StopPoint:OCEINTERCITES-87783001,8,,0,0,
OCESN15940F3163217:2024-06-14T00:38:46Z,11:56:00,11:58:00,StopPoint:OCEINTERCITES-87783365,9,,0,0,
OCESN15940F3163217:2024-06-14T00:38:46Z,12:11:00,12:12:00,StopPoint:OCEINTERCITES-87783340,10,,0,0,
OCESN15940F3163217:2024-06-14T00:38:46Z,12:26:00,12:29:00,StopPoint:OCEINTERCITES-87783324,11,,0,0,
OCESN15940F3163217:2024-06-14T00:38:46Z,12:41:00,12:42:00,StopPoint:OCEINTERCITES-87783308,12,,0,0,
OCESN15940F3163217:2024-06-14T00:38:46Z,12:49:00,12:50:00,StopPoint:OCEINTERCITES-87783282,13,,0,0,
OCESN15940F3163217:2024-06-14T00:38:46Z,13:14:00,13:15:00,StopPoint:OCEINTERCITES-87783266,14,,0,0,
OCESN15940F3163217:2024-06-14T00:38:46Z,13:27:00,13:27:00,StopPoint:OCEINTERCITES-87783241,15,,1,0,
OCESN15941F3162202:2024-06-26T00:35:36Z,12:51:00,12:51:00,StopPoint:OCEINTERCITES-87734004,0,,0,1,
OCESN15941F3162202:2024-06-26T00:35:36Z,13:15:00,13:16:00,StopPoint:OCEINTERCITES-87734202,1,,0,0,
OCESN15941F3162202:2024-06-26T00:35:36Z,13:29:00,13:30:00,StopPoint:OCEINTERCITES-87734244,2,,0,0,
OCESN15941F3162202:2024-06-26T00:35:36Z,13:35:00,13:36:00,StopPoint:OCEINTERCITES-87734251,3,,0,0,
