service_id,date,exception_type
027-34-0415092024-E#M,20240903,2
027-34-0415092024-E#M,20240909,2
027-34-0415092024-E#M,20240910,2
027-34-0415092024-E#M,20240916,2
027-34-0415092024-E#M,20240917,2
027-34-0415102024-E#M,20241008,2
027-34-0415102024-E#M,20241015,2
027-34-0415102024-E#M,20241022,2
027-34-0515012025-E#M,20250108,2
027-34-0515112024-E#M,20241110,2
027-34-0515112024-E#M,20241117,2
027-34-0515112024-E#M,20241124,2
027-34-0515122024-E#M,20241208,2
027-34-0515122024-E#M,20241209,2
027-34-0515122024-E#M,20241210,2
027-34-0515122024-E#M,20241216,2
027-34-0515122024-E#M,20241217,2
027-40-0745092024-OL#M,20240903,2
027-40-0745092024-OL#M,20240904,2
027-40-0745092024-OL#M,20240905,2
027-40-0745092024-OL#M,20240910,2
027-40-0745092024-OL#M,20240911,2
027-40-0745092024-OL#M,20240912,2
027-40-0745092024-OL#M,20240917,2
027-40-0745092024-OL#M,20240918,2
027-40-0745092024-OL#M,20240919,2
027-40-0745102024-OL#M,20241008,2
027-40-0745102024-OL#M,20241009,2
027-40-0745102024-OL#M,20241010,2
027-40-0745102024-OL#M,20241015,2
027-40-0745102024-OL#M,20241016,2
027-40-0745102024-OL#M,20241017,2
027-40-0745102024-OL#M,20241022,2
027-40-0745102024-OL#M,20241023,2
027-40-0745102024-OL#M,20241024,2
027-40-0845012025-OL#M,20250108,2
027-40-0845012025-OL#M,20250109,2
027-40-0845012025-OL#M,20250110,2
027-40-0845112024-OL#M,20241108,2
027-40-0845112024-OL#M,20241115,2
027-40-0845112024-OL#M,20241122,2
027-40-0845112024-OL#M,20241129,2
027-40-0845122024-OL#M,20241203,2
027-40-0845122024-OL#M,20241204,2
027-40-0845122024-OL#M,20241205,2
027-40-0845122024-OL#M,20241206,2
027-40-0845122024-OL#M,20241210,2
027-40-0845122024-OL#M,20241211,2
027-40-0845122024-OL#M,20241212,2
027-40-0845122024-OL#M,20241217,2
027-40-0845122024-OL#M,20241218,2
027-40-0845122024-OL#M,20241219,2
027-60-0845122024-KA#M,20241203,2
027-60-0845122024-KA#M,20241204,2
027-60-0845122024-KA#M,20241210,2
027-60-0845122024-KA#M,20241217,2
027-60-0845122024-KA#M,20241225,2
027-70-0700102024-KA#ZH,20241009,2
027-70-0700102024-KA#ZH,20241016,2
027-70-0700102024-KA#ZH,20241023,2
027-70-0800122024-KA#ZH,20241203,2
027-71-1300102024-ZH#KA,20241009,2
027-71-1300102024-ZH#KA,20241016,2
027-71-1300102024-ZH#KA,20241023,2
027-71-1400122024-ZH#KA,20241203,2
032-4-1100012025-MAL#B,20250108,2
032-4-1100012025-MAL#B,20250109,2
032-4-1100122024-MAL#B,20241204,2
032-4-1100122024-MAL#B,20241211,2
032-4-1100122024-MAL#B,20241218,2
032-7-0820012025-B#MAL,20250108,2
032-7-0820122024-B#MAL,20241203,2
032-7-0820122024-B#MAL,20241210,2
032-7-0820122024-B#MAL,20241217,2
034-11-0735012025-M#HH,20250108,2
034-1-1330012025-M#B,20250108,2
034-1-1330012025-M#B,20250109,2
034-1-1330122024-M#B,20241204,2
034-1-1330122024-M#B,20241211,2
034-2-0820012025-B#M,20250108,2
034-2-0820122024-B#M,20241203,2
034-2-0820122024-B#M,20241210,2
034-97-0930102024-M#B,20241011,2
034-97-0930102024-M#B,20241013,2
034-97-0930102024-M#B,20241018,2
034-97-0930102024-M#B,20241020,2
034-98-0840102024-B#M,20241011,2
034-98-0840102024-B#M,20241013,2
034-98-0840102024-B#M,20241018,2
034-98-0840102024-B#M,20241020,2
036-26-0800012025-STB#BUD,20250108,2
036-71-0500012025-BTS#SB,20250108,2
036-98-0750012025-SB#BTS,20250109,2
037-1-0715122024-M#NIJ,20241202,2
037-1-0715122024-M#NIJ,20241203,2
037-1-0715122024-M#NIJ,20241209,2
037-1-0715122024-M#NIJ,20241210,2
037-2-0730012025-NIJ#M,20250108,2
037-2-0730122024-NIJ#M,20241203,2
037-2-0730122024-NIJ#M,20241204,2
037-2-0730122024-NIJ#M,20241210,2
037-2-0730122024-NIJ#M,20241211,2
039-113-0700102024-B#C,20241002,2
039-113-0700102024-B#C,20241003,2
039-113-0700102024-B#ZWB,20241010,2
039-113-0700102024-B#ZWB,20241017,2
039-113-0700102024-B#ZWB,20241024,2
039-113-0800012025-B#ZWB,20250109,2
039-113-0800122024-B#C,20241203,2
039-113-0800122024-B#C,20241210,2
039-113-0800122024-B#ZWB,20241209,2
039-113-0800122024-B#ZWB,20241210,2
039-113-0800122024-B#ZWB,20241212,2
039-113-0800122024-B#ZWB,20241216,2
039-113-0800122024-B#ZWB,20241217,2
039-113-0800122024-B#ZWB,20241219,2
039-24-1300102024-AUE#B,20241009,2
